Slice	Channel	C01	C01x	C02	C02x	C03	C03x	C04	C04x	C05	C05x	C06	C06x	C07	C07x	C08	C08x	C09	C09x	C10	C10x	C11	C11x	C12	C12x
121	1	18.629	186.446	234.713	192.144	106.288	193.994	374.708	187.801	378.133	175.264							209.132	187.546	56.144	183.458	417.42	186.497	34.804	182.607
121	2	6.155	338.167	100.322	354.477	81.838	358.18	187.161	341.033	197.347	307.79							68.215	347.029	52.234	334.195	194.594	337.14	39.176	320.156
121	3	-19.698	1333.535	59.909	1301.395	6.146	1294.366	26.785	1203.618	108.101	1059.195							53.662	1211.662	28.731	1221.503	4.763	1221.659	-44.404	1169.859
124	1	16.963	186.27	209.014	192.361	107.339	194.11	325.543	190.328	412.366	176.615							258.166	188.774	52.855	185.015	412.486	202	43.713	176.885
124	2	4.156	340.714	85.54	357.982	81.612	358.567	164.847	341.908	215.087	313.717							87.532	348.749	49.708	335.55	192.884	344.526	52.61	312.165
124	3	-9.895	1309.488	66.477	1284.499	27.894	1274.372	24.175	1199.803	35.848	1126.879							77.555	1193.613	19.355	1225.414	27.003	1215.487	0.792	1123.626
127	1	18.806	187.37	193.343	194.649	107.658	195.87	281.392	194.309	380.635	176.592							295.165	189.086	55.624	185.007	315.559	201.618	40.466	179.278
127	2	4.655	342.159	78.472	359.178	74.914	362.678	138.271	345.71	196.998	314.483							107.405	348.32	54.473	335.975	145.615	346.411	42.783	318.771
127	3	-3.543	1303.871	98.288	1246.391	16.17	1273.645	-5.992	1196.436	64.402	1111.92							73.18	1193.419	43.719	1197.99	34.276	1203.473	-11.697	1148.656
130	1	17.534	189.175	171.126	195.387	111.224	196.89	258.103	193.201	399.505	178.148							351.448	190.266	51.655	187.245	298.508	192.443	40.817	180.816
130	2	4.861	345.546	70.005	360.365	80.293	365.158	129.408	346.65	206.129	320.86							134.949	348.372	52.094	339.943	138.587	340.987	42.719	322.858
130	3	10.403	1292.847	104.707	1228.114	11.523	1258.91	-4.972	1195.17	26.368	1141.157							35.011	1221.147	17.741	1217.41	18.184	1207.986	13.164	1115.079
133	1	15.916	189.457	141.242	195.063	110.26	196.526	206.615	200.26	343.254	179.657							361.088	189.569	39.463	187.247	206.454	197.5	39.509	182.622
133	2	1.972	347.949	55.143	363.307	83.871	366.402	104.022	353.19	179.019	322.215							142.172	351.421	27.329	341.484	96.573	345.554	40.395	325.806
133	3	32.385	1272.417	116.037	1206.589	35.554	1242.228	5.257	1189.094	24.816	1140.957							83.371	1188.573	-0.273	1211.82	15.386	1208.714	11.546	1119.041
136	1	16.033	190.558	117.421	194.765	109.318	200.068	188.499	196.17	236.649	180.093							346.934	191.414	40.771	187.077	186.641	193.132	31.843	191.901
136	2	-0.402	350.958	46.569	363.237	80.266	368.844	102.35	347.719	129.746	322.936							138	352.416	33.429	340.632	84.242	348	32.831	332.043
